t,src,seq,t_gen
1.107764,92,1,1.107764
1.111329,308,1,1.111329
1.112233,398,1,1.112233
1.113542,140,1,1.113542
1.114132,52,1,1.114132
1.115535,370,1,1.115535
1.116539,339,1,1.116539
1.117631,264,1,1.117631
1.118587,7,1,1.118587
1.119022,178,1,1.119022
1.120773,51,1,1.120773
1.122326,19,1,1.122326
1.123267,173,1,1.123267
1.123523,386,1,1.123523
1.127013,331,1,1.127013
1.128617,46,1,1.128617
1.129351,91,1,1.129351
1.130314,232,1,1.130314
1.133348,223,1,1.133348
1.135557,255,1,1.135557
1.136115,227,1,1.136115
1.136342,119,1,1.136342
1.136504,95,1,1.136504
1.137288,303,1,1.137288
1.138887,100,1,1.138887
1.140576,280,1,1.140576
1.142043,391,1,1.142043
1.143560,168,1,1.143560
1.144888,136,1,1.144888
1.146572,201,1,1.146572
1.148121,66,1,1.148121
1.149822,123,1,1.149822
1.150412,381,1,1.150412
1.150846,317,1,1.150846
1.153688,301,1,1.153688
1.154626,204,1,1.154626
1.155034,22,1,1.155034
1.156377,27,1,1.156377
1.158110,277,1,1.158110
1.158244,172,1,1.158244
1.160283,194,1,1.160283
1.162041,276,1,1.162041
1.162202,62,1,1.162202
1.162559,236,1,1.162559
1.164152,160,1,1.164152
1.164189,348,1,1.164189
1.164771,104,1,1.164771
1.164968,108,1,1.164968
1.166095,314,1,1.166095
1.167815,181,1,1.167815
1.174391,74,1,1.174391
1.175104,322,1,1.175104
1.175935,68,1,1.175935
1.177253,213,1,1.177253
1.177613,296,1,1.177613
1.179054,55,1,1.179054
1.180576,127,1,1.180576
1.180653,183,1,1.180653
1.181581,41,1,1.181581
1.182231,361,1,1.182231
1.184051,26,1,1.184051
1.184745,309,1,1.184745
1.187122,61,1,1.187122
1.187162,20,1,1.187162
1.187376,271,1,1.187376
1.188113,16,1,1.188113
1.189163,84,1,1.189163
1.189678,164,1,1.189678
1.190365,31,1,1.190365
1.190699,269,1,1.190699
1.190880,47,1,1.190880
1.191220,251,1,1.191220
1.191551,153,1,1.191551
1.192619,56,1,1.192619
1.193414,112,1,1.193414
1.194160,320,1,1.194160
1.194434,139,1,1.194434
1.197772,338,1,1.197772
1.198767,42,1,1.198767
1.199830,283,1,1.199830
1.199834,268,1,1.199834
1.201383,217,1,1.201383
1.201609,205,1,1.201609
1.202153,366,1,1.202153
1.202212,161,1,1.202212
1.203461,388,1,1.203461
1.207640,351,1,1.207640
1.207804,352,1,1.207804
